date,facility_id,facility,hours_staffed,daily_cr_labor_hours_allocation,week,month,labor_cost
2023-08-10,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.45,0.0,2023-08-07,2023-08-01,224.1
2023-08-04,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.216667,0.0,2023-07-31,2023-08-01,255.900006
2023-08-25,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.7,0.0,2023-08-21,2023-08-01,228.6
2023-08-11,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.4,0.0,2023-08-07,2023-08-01,241.20000000000002
2023-08-14,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.283333,0.0,2023-08-14,2023-08-01,221.099994
2023-08-29,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,11.833333,0.0,2023-08-28,2023-08-01,212.999994
2023-08-27,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.316667,0.0,2023-08-21,2023-08-01,239.700006
2023-08-21,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.3,0.0,2023-08-21,2023-08-01,239.4
2023-08-19,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.45,0.0,2023-08-14,2023-08-01,260.09999999999997
2023-08-06,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.75,0.0,2023-07-31,2023-08-01,247.5
2023-08-13,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.216667,0.0,2023-08-07,2023-08-01,237.900006
2023-08-07,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.25,0.0,2023-08-07,2023-08-01,256.5
2023-08-23,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,15.966667,0.0,2023-08-21,2023-08-01,287.40000599999996
2023-08-28,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.416667,0.0,2023-08-28,2023-08-01,223.500006
2023-08-26,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.216666,0.0,2023-08-21,2023-08-01,255.899988
2023-09-01,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.65,0.0,2023-08-28,2023-09-01,227.70000000000002
2023-08-08,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.483334,0.0,2023-08-07,2023-08-01,242.700012
2023-09-04,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-05,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.6,0.0,2023-07-31,2023-08-01,262.8
2023-08-16,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,11.966666,0.0,2023-08-14,2023-08-01,215.399988
2023-08-24,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,16.4,0.0,2023-08-21,2023-08-01,295.2
2023-09-05,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-17,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.333333,0.0,2023-08-14,2023-08-01,221.999994
2023-08-01,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,13.2,0.0,2023-07-31,2023-08-01,237.6
2023-09-07,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,0.0,0.0,2023-09-04,2023-09-01,0.0
2023-08-15,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.3,0.0,2023-08-14,2023-08-01,257.40000000000003
2023-08-18,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,16.366666,0.0,2023-08-14,2023-08-01,294.599988
2023-08-22,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.266667,0.0,2023-08-21,2023-08-01,256.800006
2023-08-12,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,14.449999,0.0,2023-08-07,2023-08-01,260.099982
2023-08-02,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,17.366666,0.0,2023-07-31,2023-08-01,312.599988
2023-09-03,54341152-da81-4b58-8ba3-8604bc1ff2dc,NA-US-IL-DUN-Avondale,12.5,0.0,2023-08-28,2023-09-01,225.0
2023-08-17,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),11.683334,0.0,2023-08-14,2023-08-01,210.300012
2023-08-01,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),12.583333,0.0,2023-07-31,2023-08-01,226.499994
2023-08-13,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),17.6,0.0,2023-08-07,2023-08-01,316.8
2023-08-22,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),13.183333,0.0,2023-08-21,2023-08-01,237.299994
2023-09-01,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),10.95,0.0,2023-08-28,2023-09-01,197.1
2023-08-30,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),24.383333,0.0,2023-08-28,2023-08-01,438.899994
2023-08-21,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),7.8,0.0,2023-08-21,2023-08-01,140.4
2023-08-06,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),6.783333,0.0,2023-07-31,2023-08-01,122.099994
2023-08-02,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.65,0.0,2023-07-31,2023-08-01,389.7
2023-08-04,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.65,0.0,2023-07-31,2023-08-01,389.7
2023-08-24,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),27.516666,0.0,2023-08-21,2023-08-01,495.299988
2023-08-26,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),12.633333,0.0,2023-08-21,2023-08-01,227.399994
2023-08-16,54d4375f-4c79-4444-ad83-f54362c08198,NA-US-OD-5th (correct),21.3,0.0,2023-08-14,2023-08-01,383.40000000000003
